our_algorithm,our_memory_kb,our_count,our_mean_are,our_mean_cosine,our_mean_euclid,our_mean_energy,auth_algorithm,auth_memory_kb,auth_count,auth_mean_are,auth_mean_cosine,auth_mean_euclid,auth_mean_energy,mem_diff
fourier,8,"<bound method Series.count of algorithm          fourier
memory_kb                8
count                   10
mean_are               1.0
mean_cosine            1.0
mean_euclid          200.0
mean_energy            0.0
algorithm_canon    Fourier
Name: 0, dtype: object>",1.0,1.0,200.0,0.0,Fourier,24.0,"<bound method Series.count of algorithm            Fourier
memory_kb               24.0
count                   9930
mean_are             1.84662
mean_cosine         0.405101
mean_euclid        27.644919
mean_energy         0.072538
algorithm_canon      Fourier
mem_diff                16.0
Name: 0, dtype: object>",1.8466199296878147,0.4051011130896274,27.64491946424975,0.07253785561570997,16.0
fourier,16,"<bound method Series.count of algorithm          fourier
memory_kb               16
count                   10
mean_are               1.0
mean_cosine            1.0
mean_euclid          200.0
mean_energy            0.0
algorithm_canon    Fourier
Name: 1, dtype: object>",1.0,1.0,200.0,0.0,Fourier,24.0,"<bound method Series.count of algorithm            Fourier
memory_kb               24.0
count                   9930
mean_are             1.84662
mean_cosine         0.405101
mean_euclid        27.644919
mean_energy         0.072538
algorithm_canon      Fourier
mem_diff                 8.0
Name: 0, dtype: object>",1.8466199296878147,0.4051011130896274,27.64491946424975,0.07253785561570997,8.0
fourier,32,"<bound method Series.count of algorithm          fourier
memory_kb               32
count                   10
mean_are               1.0
mean_cosine            1.0
mean_euclid          200.0
mean_energy            0.0
algorithm_canon    Fourier
Name: 2, dtype: object>",1.0,1.0,200.0,0.0,Fourier,24.0,"<bound method Series.count of algorithm            Fourier
memory_kb               24.0
count                   9930
mean_are             1.84662
mean_cosine         0.405101
mean_euclid        27.644919
mean_energy         0.072538
algorithm_canon      Fourier
mem_diff                 8.0
Name: 0, dtype: object>",1.8466199296878147,0.4051011130896274,27.64491946424975,0.07253785561570997,8.0
fourier,64,"<bound method Series.count of algorithm          fourier
memory_kb               64
count                   10
mean_are               1.0
mean_cosine            1.0
mean_euclid          200.0
mean_energy            0.0
algorithm_canon    Fourier
Name: 3, dtype: object>",1.0,1.0,200.0,0.0,Fourier,24.0,"<bound method Series.count of algorithm            Fourier
memory_kb               24.0
count                   9930
mean_are             1.84662
mean_cosine         0.405101
mean_euclid        27.644919
mean_energy         0.072538
algorithm_canon      Fourier
mem_diff                40.0
Name: 0, dtype: object>",1.8466199296878147,0.4051011130896274,27.64491946424975,0.07253785561570997,40.0
fourier,128,"<bound method Series.count of algorithm          fourier
memory_kb              128
count                   10
mean_are               1.0
mean_cosine            1.0
mean_euclid          200.0
mean_energy            0.0
algorithm_canon    Fourier
Name: 4, dtype: object>",1.0,1.0,200.0,0.0,Fourier,24.0,"<bound method Series.count of algorithm            Fourier
memory_kb               24.0
count                   9930
mean_are             1.84662
mean_cosine         0.405101
mean_euclid        27.644919
mean_energy         0.072538
algorithm_canon      Fourier
mem_diff               104.0
Name: 0, dtype: object>",1.8466199296878147,0.4051011130896274,27.64491946424975,0.07253785561570997,104.0
fourier,256,"<bound method Series.count of algorithm          fourier
memory_kb              256
count                   10
mean_are               1.0
mean_cosine            1.0
mean_euclid          200.0
mean_energy            0.0
algorithm_canon    Fourier
Name: 5, dtype: object>",1.0,1.0,200.0,0.0,Fourier,24.0,"<bound method Series.count of algorithm            Fourier
memory_kb               24.0
count                   9930
mean_are             1.84662
mean_cosine         0.405101
mean_euclid        27.644919
mean_energy         0.072538
algorithm_canon      Fourier
mem_diff               232.0
Name: 0, dtype: object>",1.8466199296878147,0.4051011130896274,27.64491946424975,0.07253785561570997,232.0
omniwindow,8,"<bound method Series.count of algorithm          omniwindow
memory_kb                   8
count                      10
mean_are                  1.0
mean_cosine               1.0
mean_euclid             200.0
mean_energy               0.0
algorithm_canon    OmniWindow
Name: 6, dtype: object>",1.0,1.0,200.0,0.0,OmniWindow,24.0,"<bound method Series.count of algorithm          OmniWindow
memory_kb                24.0
count                    9930
mean_are             0.874395
mean_cosine          0.486281
mean_euclid         28.312021
mean_energy          0.104957
algorithm_canon    OmniWindow
mem_diff                 16.0
Name: 2, dtype: object>",0.8743951537764352,0.48628054300100704,28.312020576032225,0.10495713888721048,16.0
omniwindow,16,"<bound method Series.count of algorithm          omniwindow
memory_kb                  16
count                      10
mean_are                  1.0
mean_cosine               1.0
mean_euclid             200.0
mean_energy               0.0
algorithm_canon    OmniWindow
Name: 7, dtype: object>",1.0,1.0,200.0,0.0,OmniWindow,24.0,"<bound method Series.count of algorithm          OmniWindow
memory_kb                24.0
count                    9930
mean_are             0.874395
mean_cosine          0.486281
mean_euclid         28.312021
mean_energy          0.104957
algorithm_canon    OmniWindow
mem_diff                  8.0
Name: 2, dtype: object>",0.8743951537764352,0.48628054300100704,28.312020576032225,0.10495713888721048,8.0
omniwindow,32,"<bound method Series.count of algorithm          omniwindow
memory_kb                  32
count                      10
mean_are                  1.0
mean_cosine               1.0
mean_euclid             200.0
mean_energy               0.0
algorithm_canon    OmniWindow
Name: 8, dtype: object>",1.0,1.0,200.0,0.0,OmniWindow,24.0,"<bound method Series.count of algorithm          OmniWindow
memory_kb                24.0
count                    9930
mean_are             0.874395
mean_cosine          0.486281
mean_euclid         28.312021
mean_energy          0.104957
algorithm_canon    OmniWindow
mem_diff                  8.0
Name: 2, dtype: object>",0.8743951537764352,0.48628054300100704,28.312020576032225,0.10495713888721048,8.0
omniwindow,64,"<bound method Series.count of algorithm          omniwindow
memory_kb                  64
count                      10
mean_are                  1.0
mean_cosine               1.0
mean_euclid             200.0
mean_energy               0.0
algorithm_canon    OmniWindow
Name: 9, dtype: object>",1.0,1.0,200.0,0.0,OmniWindow,24.0,"<bound method Series.count of algorithm          OmniWindow
memory_kb                24.0
count                    9930
mean_are             0.874395
mean_cosine          0.486281
mean_euclid         28.312021
mean_energy          0.104957
algorithm_canon    OmniWindow
mem_diff                 40.0
Name: 2, dtype: object>",0.8743951537764352,0.48628054300100704,28.312020576032225,0.10495713888721048,40.0
